Location name,Amount spent (ZAR)
Eastern Cape,821
Free State,440
Gauteng,4243
KwaZulu-Natal,1914
Limpopo,904
Mpumalanga,918
North West,585
Northern Cape,261
Unknown,≤100
Western Cape,4416
