Location name,Amount spent (GTQ)
Alta Verapaz Department,245
Baja Verapaz Department,≤100
Chimaltenango Department,175
Chiquimula Department,117
El Progreso Department,≤100
Escuintla Department,336
Guatemala Department,4083
Huehuetenango Department,262
Izabal Department,192
Jalapa Department,≤100
Jutiapa Department,131
Petén Department,121
Quetzaltenango Department,450
Quiché Department,190
Retalhuleu Department,101
Sacatepéquez Department,171
San Marcos Department,890
Santa Rosa Department,105
Sololá Department,120
Suchitepéquez Department,149
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
