Location name,Amount spent (GTQ)
Alta Verapaz Department,617
Baja Verapaz Department,141
Chimaltenango Department,386
Chiquimula Department,286
El Progreso Department,126
Escuintla Department,843
Guatemala Department,8888
Huehuetenango Department,544
Izabal Department,453
Jalapa Department,195
Jutiapa Department,287
Petén Department,296
Quetzaltenango Department,983
Quiché Department,370
Retalhuleu Department,258
Sacatepéquez Department,451
San Marcos Department,1369
Santa Rosa Department,224
Sololá Department,241
Suchitepéquez Department,379
Totonicapán Department,222
Unknown,≤100
Zacapa Department,200
