Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,20017,4
161538647202796,David Segura - Diputado,David Lorenzo Segura Gamboa,5758,1
265843867173714,La Revista,La Revista,5331,2
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,3920,1
102643532445938,Ada Acuña - Diputada,Jacqui Solano,3757,2
100508562815254,Juan Diego González Picado,Juan Diego González Picado,2817,1
823788047675556,Call of War,These ads ran without a disclaimer,1781,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1187,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1120,1
643513979193133,Unidos por Beatriz,Neuma,858,2
2006883116083469,Cristopher Montero Jiménez,Cristopher Montero Jimenez,709,1
109536051432220,Olga Morera - Diputada,Olga Morera Arrieta,650,1
856012741442139,Ipas LAC,Neuma,471,3
897993403626042,Yunta Progresista Escazuceña - Oficial,These ads ran without a disclaimer,275,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
207514629334623,قراءات إفريقية,These ads ran without a disclaimer,≤100,1
114507271987242,IVECA International Virtual Schooling,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,3
