Location name,Amount spent (INR)
Andaman and Nicobar Islands,374
Andhra Pradesh,64654
Arunachal Pradesh,2587
Assam,36222
Bihar,106519
Chandigarh,5450
Chhattisgarh,41747
Dadra and Nagar Haveli,1535
Delhi,89051
Goa,3931
Gujarat,97155
Haryana,72662
Himachal Pradesh,19909
Jammu and Kashmir,24515
Jharkhand,32442
Karnataka,181253
Kerala,34444
Lakshadweep,≤100
Madhya Pradesh,107252
Maharashtra,274125
Manipur,4842
Meghalaya,98337
Mizoram,1817
Nagaland,2134
Odisha,44465
Puducherry,3805
Punjab region,48426
Rajasthan,134850
Sikkim,2047
Tamil Nadu,77648
Telangana,64005
Tripura,62836
Unknown,148
Uttar Pradesh,216697
Uttarakhand,20544
West Bengal,131758
