Location name,Amount spent (AUD)
Australian Capital Territory,571
Jervis Bay Territory,≤100
New South Wales,9189
Northern Territory,202
Queensland,5190
South Australia,1740
Tasmania,633
Unknown,≤100
Victoria,5787
Western Australia,2675
