Location name,Amount spent (ARS)
Buenos Aires,19893862
Catamarca,782314
Chaco,512579
Chubut,195205
Ciudad Autónoma de Buenos Aires,5946714
Corrientes,387657
Córdoba,2790875
Entre Rios,3119775
Formosa,220897
Jujuy,916096
La Pampa,180029
La Rioja,329017
Mendoza,891102
Misiones,435427
Neuquén,238747
Río Negro,271713
Salta,673987
San Juan,384935
San Luis,278667
Santa Cruz,598573
Santa Fe,1855840
Santiago del Estero,337002
Tierra del Fuego,230886
Tucuman,507759
Unknown,615
