Location name,Amount spent (PYG)
Alto Paraguay Department,12276
Alto Paraná Department,565236
Amambay Department,58277
Asunción,485141
Boquerón department,125723
Caaguazú Department,172808
Caazapá Department,130255
Canindeyú Department,65325
Central Department,1503478
Concepción Department (Paraguay),66099
Cordillera Department,106784
Guairá Department,62455
Itapúa Department,170873
Misiones Department,142475
Paraguarí Department,63743
Presidente Hayes Department,39779
San Pedro Department,119831
Unknown,≤100
Ñeembucú Department,31941
