Location name,Amount spent (VEF)
Amazonas,213
Anzoátegui,760181
Apure,252505
Aragua,1516417
Barinas,755922
Bolívar (state),1013059
Capital District,20046076
Carabobo,4273910
Cojedes,251546
Delta Amacuro,373
Falcón,507622
Guárico,252878
Lara,1137005
Miranda (state),3758688
Monagas,507143
Mérida,763432
Nueva Esparta,3705721
Portuguesa,258475
Sucre,242720
Trujillo,256929
Táchira,1322982
Unknown,213
Vargas,1943743
Yaracuy,387465
Zulia,7534250
