Location name,Amount spent (DKK)
Capital Region of Denmark,55898
Central Denmark Region,40451
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,14845
Region of Southern Denmark,31899
Unknown,≤100
Zealand Region,20945
