Location name,Amount spent (INR)
Andaman and Nicobar Islands,184
Andhra Pradesh,35620
Arunachal Pradesh,892
Assam,16859
Bihar,35708
Chandigarh,1770
Chhattisgarh,107016
Dadra and Nagar Haveli,1413
Delhi,42856
Goa,2936
Gujarat,48807
Haryana,38240
Himachal Pradesh,8382
Jammu and Kashmir,6258
Jharkhand,14961
Karnataka,50307
Kerala,10943
Lakshadweep,≤100
Madhya Pradesh,202670
Maharashtra,160465
Manipur,152
Meghalaya,1069
Mizoram,2435
Nagaland,720
Odisha,12385
Puducherry,740
Punjab region,28134
Rajasthan,157658
Sikkim,1020
Tamil Nadu,35062
Telangana,67727
Tripura,1550
Unknown,≤100
Uttar Pradesh,92283
Uttarakhand,17861
West Bengal,35549
