Location name,Amount spent (HUF)
Baranya County,103135
Borsod-Abaúj-Zemplén County,163294
Budapest,644553
Bács-Kiskun County,135801
Békés County,91764
Csongrád County,145550
Fejér County,124642
Győr-Moson-Sopron County,130771
Hajdú-Bihar County,125585
Heves County,114210
Jász-Nagykun-Szolnok County,103859
Komárom-Esztergom County,87056
Nógrád County,65847
Pest County,375740
Somogy County,84854
Szabolcs-Szatmár-Bereg County,171627
Tolna County,56034
Unknown,≤100
Vas County,69690
Veszprém County,106852
Zala County,75418
