Location name,Amount spent (MYR)
Johor,455
Kedah,431
Kelantan,277
Kuala Lumpur,1361
Labuan,≤100
Malacca,177
Negeri Sembilan,739
Pahang,201
Penang,485
Perak,345
Perlis,≤100
Putrajaya,≤100
Sabah,304
Sarawak,311
Selangor,3330
Terengganu,271
Unknown,≤100
