Location name,Amount spent (CAD)
Alberta,30397
British Columbia,30348
Manitoba,6438
New Brunswick,3757
Newfoundland and Labrador,2188
Northwest Territories,199
Nova Scotia,4914
Nunavut,177
Ontario,81846
Prince Edward Island,674
Quebec,16553
Saskatchewan,5196
Unknown,≤100
Yukon,195
