Location name,Amount spent (PYG)
Alto Paraguay Department,100309
Alto Paraná Department,7491179
Amambay Department,614089
Asunción,5548763
Boquerón department,196070
Caaguazú Department,2552122
Caazapá Department,327543
Canindeyú Department,585119
Central Department,13004534
Concepción Department (Paraguay),602816
Cordillera Department,1320659
Guairá Department,691613
Itapúa Department,3449853
Misiones Department,1008431
Paraguarí Department,622602
Presidente Hayes Department,392954
San Pedro Department,710953
Unknown,358
Ñeembucú Department,645006
