Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,2210,20
183355881680015,New Zealand National Party,New Zealand National Party,1369,234
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,1124,22
1671535913101759,Entrust,Entrust New Zealand,903,11
11870725774,Greenpeace Aotearoa,Greenpeace NZ,820,6
103881760966661,Gen Less,Energy Efficiency & Conservation Authority,792,8
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,760,14
173912362663564,Electoral Commission NZ,Electoral Commission NZ,725,9
110613705109260,Independent Electoral Review - He Arotake Pōtitanga Motuhake,Independent Electoral Review,702,3
106194579030381,Doctors Without Borders / Médecins Sans Frontières NZ,Doctors Without Borders / Médecins Sans Frontières NZ,597,28
689146908145006,Free Speech Union,Free Speech Union,438,17
37547788323,UNICEF Aotearoa,UNICEF Aotearoa,408,29
104174354363267,Christopher Luxon,New Zealand National Party,397,6
120703687692577,Mining Means Progress,Straterra Limited,315,12
106952008971755,Catherine Wedd for Tukituki,Catherine Wedd for Tukituki,236,1
684508498380306,Trees That Count,Trees That Count,227,32
102887312771425,Greg Fleming,Greg Fleming for Maungakiekie,169,37
1966234280281774,Brooke van Velden MP,ACT,168,4
376006035816016,Storyworth,These ads ran without a disclaimer,161,8
120853907618462,Mahesh Muralidhar for Auckland Central,Mahesh Muralidhar for Auckland Central,155,35
363940644005754,Shanan Halbert- MP for Northcote,NZ Parliamentary Service on behalf of Shanan Halbert MP,142,2
92043134118,ACT,ACT,139,5
341865911020,ASB Bank,ASB Bank Ltd,132,2
1281262645251755,Hobson's Pledge,Hobson's Pledge,132,5
104411054853609,Mark Cameron - ACT List MP,ACT,126,1
19648092895,Tearfund New Zealand,Tearfund New Zealand,116,9
175954932952,WWF New Zealand,WWF New Zealand,102,2
120299734681879,Shine,Shine,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,2
110909661534199,The Common Room NZ,The Common Room NZ,≤100,2
424806334290059,New Zealand Taxpayers' Union,New Zealand Taxpayers' Union,≤100,6
121956660842544,Grant McCallum,New Zealand National Party (Northland Electorate),≤100,9
179342172711193,Dan Bidois,Dan Bidois for Northcote,≤100,1
123375421154267,Duncan Webb Labour MP for Christchurch Central,NZ Parliamentary Service on behalf of Duncan Webb MP,≤100,1
110444822368666,Ōtara-Papatoetoe Local Board,Auckland Council,≤100,2
600749256636478,Tauranga City Council,Tauranga City Council,≤100,10
104319172596371,Blair Cameron for Nelson,Blair Cameron,≤100,7
408747529491004,Department of Conservation,Department of Conservation,≤100,31
102857559488426,Andrew Hoggard for ACT,ACT,≤100,1
154331724631584,David Seymour,the Parliamentary Service on behalf of ACT New Zealand,≤100,3
162019810410,Focus on the Family New Zealand,Focus on the Family New Zealand,≤100,1
23625700722,Oxfam,Oxfam Aotearoa,≤100,4
100432998389927,Karen Chhour MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,2
209221986221719,Nicola Willis MP,Nicola Willis MP,≤100,1
106159648977980,Suze Redmayne for Rangitikei,Suze Redmayne for Rangitikei,≤100,2
105790469112280,Carl Bates for Whanganui,Carl Bates for Whanganui,≤100,2
110974094005509,Nicole McKee MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
106157572429609,Cameron Brewer for Upper Harbour,Cameron Brewer for Upper Harbour,≤100,2
203953359629611,Voice For Life,Voice for Life,≤100,7
104411054853609,Mark Cameron - ACT List MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,2
100135495080458,Toni Severin MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
100272638114473,Tim Costley for Ōtaki,Ōtaki National Party,≤100,3
102500959802535,World Vision New Zealand,World Vision New Zealand,≤100,3
203603136318105,Invercargill City Council,Invercargill City Council,≤100,4
101443726566068,New Zealand Red Cross,These ads ran without a disclaimer,≤100,1
100113565101028,Vanushi Walters MP,NZ Parliamentary Service on behalf of Vanushi Walters MP,≤100,3
102690508206877,Chris Baillie MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
113846130364869,Rima Nakhle for Takanini,New Zealand National Party (Takanini Electorate),≤100,3
119798114390625,Tracy Summerfield for Wigram,Tracy Sheree Summerfield,≤100,2
564453323744421,TOP - The Opportunities Party,TOP - The Opportunities Party,≤100,2
451907931984042,Speak Up For Women NZ,Speak Up For Women NZ,≤100,1
74410368422,Mental Health Foundation of New Zealand,Mental Health Foundation,≤100,2
123674487757196,New Zealand Nurses Organisation - NZNO,New Zealand Nurses Organisation - NZNO,≤100,2
103021582757731,Ankit Bansal for Palmerston North,Ankit Bansal for Palmerston North,≤100,3
100432998389927,Karen Chhour MP,ACT,≤100,6
185590638873,NZHL Home Loans / Insurance,NZHL Home Loans / Insurance,≤100,14
705422666171288,Chris Bishop,Chris Bishop,≤100,1
112431991697294,Animal Justice Party Aotearoa NZ,Animal Justice Party Aotearoa NZ,≤100,3
201340000036663,Ashburton District Council,Ashburton District Council,≤100,9
269047933236930,Horowhenua District Council,Horowhenua District Council,≤100,3
305655596286980,Paul Goldsmith,NZ Parliamentary Service on behalf of Paul Goldsmith MP,≤100,6
109190088664909,Hamish Campbell for Ilam,Hamish Campbell for Ilam,≤100,1
196967540964595,Mindful Money,Mindful Money,≤100,2
346186225761296,Erica Stanford MP,Erica Stanford MP,≤100,1
114731636915763,Simon Court MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
330826974479247,Live Ocean,These ads ran without a disclaimer,≤100,1
203463489667720,Western Bay of Plenty District Council,Western Bay of Plenty District Council,≤100,6
340956962955027,Steph Lewis MP for Whanganui,NZ Parliamentary Service on behalf of Steph Lewis MP,≤100,2
108458155571360,Natalia Albert - TOP Candidate for Wellington Central,Natalia Albert - TOP Candidate for Wellington Central,≤100,3
149519831907669,Raf Manji,The Opportunities Party,≤100,1
103745874668930,Damien Smith - ACT List Member of Parliament.,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
1591672150854791,The Doctors NZ,Green Cross Health,≤100,2
107777965524870,Frances Hughes for Mana,New Zealand National Party (Mana Electorate),≤100,2
1966234280281774,Brooke van Velden MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
101425391405600,Ingrid Leary MP,Ingrid Marieke Leary,≤100,1
108216269242463,The University of Waikato,The University of Waikato,≤100,1
117930708298273,Hamilton City Council,Hamilton City Council,≤100,2
111594283905399,Brought Back Discounts - WEL Energy Trust,Brought Back Discounts - WEL Energy Trust,≤100,1
100278988277160,Simon Watts MP for North Shore,Parliamentary Service on behalf of Simon Watts MP,≤100,8
171901233444420,Mel Courtney - Nelson City Councillor,Mel Courtney,≤100,1
105454869207958,Cyclone & Flood Response Team,"NZ Parliamentary Service on behalf of Chris Penk MP, Spokesperson for Cyclone Recovery",≤100,1
661151584396036,Parents for Climate Aotearoa,Alicia Rose Hall,≤100,1
108217938914452,Bill Dyet - Democracy NZ Candidate for Whangaparaoa,Democracy New Zealand,≤100,5
109145321007464,Groundswell NZ,Groundswell NZ,≤100,1
109882599038063,Queenstown Lakes District Council,Queenstown Lakes District Council,≤100,1
100372253091292,David Meades for ICC,David James Meades,≤100,1
113352338438709,Vote Dave for ICC,David John Hicks,≤100,1
107937407609923,Arena Williams MP,Arena Williams MP,≤100,1
105681068874945,Ag Matters,New Zealand Agricultural Greenhouse Gas Research Centre,≤100,1
178082176043954,Ngāti Mutunga o Wharekauri Iwi Trust,These ads ran without a disclaimer,≤100,1
107151618638336,Saving Rotorua,Saving Rotorua,≤100,1
282174425155343,Rotorua Lakes Council,Rotorua Lakes Council,≤100,1
113487335368284,NZCTU Te Kauae Kaimahi,These ads ran without a disclaimer,≤100,1
700679639984258,Kāpiti Coast District Council,Kāpiti Coast District Council,≤100,1
106636689109962,Tom Rutherford for Bay of Plenty,Tom Rutherford for Bay of Plenty,≤100,1
104501819255827,Vanessa Weenink for Banks Peninsula,Vanessa Weenink for Banks Peninsula,≤100,1
100836489646592,Rosemary Bourke for Māngere,Rosemary Bourke for Māngere,≤100,2
451936698281378,Cancer Society of Otago & Southland,Cancer Society Otago & Southland Division,≤100,1
103403094634162,Ethan Reille for Waitaki,Ethan Mark Reille,≤100,1
309846686264586,Scott Watson Fact,Thomas John Watson,≤100,1
102769075895862,Janette Osborne - Your Councillor,Janette Osborne,≤100,1
133693553317404,University of Otago Alumni & Friends,These ads ran without a disclaimer,≤100,1
298178873669068,Labour Whangaparāoa,Labour Whangaparaoa,≤100,1
