Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
117109432079,CAMH Foundation,CAMH Foundation,1972,90
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,1852,12
16761458703,University of British Columbia,University of British Columbia,1281,85
154462904588700,Enbridge Gas,Enbridge Gas,1264,73
115835521825983,UNHCR Canada,UNHCR Canada,1251,98
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Sussex Strategy Group,970,4
203652059653094,Government of British Columbia,Government of British Columbia,899,10
172145722975250,PressProgress,PressProgress,884,85
6695079125,TD,TD Bank Canada,806,18
109045051805492,Made The Canadian Way,Canadian Energy Centre,602,4
625254780822339,CUPE Manitoba,CUPE MB,600,11
1097840090260804,National Police Federation,National Police Federation,512,84
104853517861788,Surrey’s Say on Policing,National Police Federation,501,10
1671097993122619,Children Believe,Children Believe,487,38
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,449,43
1530293140634544,"No Options, No Choice","No Options, No Choice Project",437,9
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,420,2
111176008261790,West Coast Now,West Coast Now,396,13
107670711947328,Only One CA,"Only One, Inc.",367,25
113297740077607,Canadian Energy Centre,Canadian Energy Centre,348,78
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,328,17
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,325,37
177741812241442,SCFP-Québec,le SCFP,322,12
428551390928740,Fondation Rideau Hall Foundation,Rideau Hall Foundation,320,12
114849617772737,Care2 Canada,Press Pause Collective,293,6
19750184960,Greenpeace Canada,Greenpeace Canada,292,182
121455674601185,The Manitoba Teachers' Society,The Manitoba Teachers' Society,289,9
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,285,2
100372613401225,BC Council of Forest Industries,BC Council of Forest Industries,284,48
102794729214729,Avoid the Shock,Insurance Bureau of Canada,259,7
107385241806,Plan International Canada,Plan International Canada,252,51
110647840532680,Merge Mayor,These ads ran without a disclaimer,239,1
181477762000062,Department of Justice Canada,Department of Justice Canada,233,3
281999881613,World Vision Canada,World Vision Canada,233,5
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,232,13
7522587804,Green Party of Ontario,Green Party of Ontario,221,4
102862259754198,MS.ThingsIsee,KELLY-ANN P JONES,195,4
104386908631938,Pathways Alliance,Pathways Alliance,191,6
256967407720183,LEO,Léger,191,32
335316996546813,Nova Scotia Department of Health and Wellness,Government of Nova Scotia,171,2
106360778489053,Fuelling Canada,Canadian Gas Association,171,65
106917558391358,Alliance Nouvelles voies,Pathways Alliance,163,2
100999094747422,Land Needs Guardians,Land Needs Guardians,154,4
127923173900910,Ontario Federation of Agriculture,Ontario Federation of Agriculture,147,6
294663684004138,Boyle Street Community Services,Boyle Street Community Services,142,1
101898551911387,The Hub Canada,Hub Canada Media,141,130
14742445214,BC Green Party,BC Green Party,128,27
468862456473344,Together We Can - Addiction Recovery & Education Society,Together We Can - Addiction Recovery & Education Society,122,1
147602041992683,Métis Nation of Ontario,Métis Nation of Ontario,119,10
259187344111223,Coastal First Nations,Coastal First Nations,116,82
159713615718,WWF-Canada,WWF-Canada,113,29
1533253713597302,Elisabeth Léger,Elisabeth Leger,112,4
214866875236330,PROMIS,Promis Immigration,112,15
183326331693112,Manitoba Federation of Labour,Manitoba Federation of Labour,105,18
233017897569896,Emplois en régions,Emplois en régions,105,18
191240938428019,Le Devoir BIS,Le Devoir,≤100,5
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,≤100,22
106183171866567,Fairness for Drivers,Fairness for Drivers,≤100,7
1391594234280994,"Liquor, Gaming and Cannabis Authority of Manitoba","Liquor, Gaming and Cannabis Authority of Manitoba",≤100,8
104152709183684,Convenience Retailers 4 SC,Convenience Retailers Alliance,≤100,12
551101131576973,Ministère de la Justice Canada,Ministère de la Justice Canada,≤100,3
106432095003415,Our Nova Scotia RCMP,National Police Federation,≤100,19
1547351742002843,Recovery Capital Summit- Overcoming Addiction,Giuseppi Ganci,≤100,3
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,≤100,4
1643255589282164,Ontario Clean Air Alliance,Ontario Clean Air Alliance,≤100,2
155438297848472,City of Brantford,City of Brantford,≤100,1
638391216643974,CodeBlue BC,CodeBlue BC,≤100,16
2161474537462046,Solar X,Solar X,≤100,1
139019864276,Oxfam Canada,Oxfam Canada,≤100,10
572892516092329,"Yvan Baker, MP",Yvan Baker,≤100,3
247550302115830,Elections Saskatchewan,Elections Saskatchewan,≤100,2
31912359596,University of Saskatchewan,University of Saskatchewan,≤100,6
34172723595,Andrea Horwath,Andrea Horwath,≤100,1
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,≤100,2
163336718421,PSAC - AFPC,PSAC-AFPC,≤100,1
168973503131279,Mission Old Brewery,Mission Old Brewery,≤100,59
1459978440906128,Office des personnes handicapées du Québec,Office des personnes handicapées du Québec,≤100,2
324167227692651,Andrew Mercier,Andrew James Mercier,≤100,1
104746267738265,Le Monde ouvrier,Le Monde ouvrier,≤100,7
156235841087715,FTQ,FTQ,≤100,3
161817467263,Nova Scotia Government,Government of Nova Scotia,≤100,1
184906186150,The Toronto Star,The Toronto Star,≤100,1
519158768236312,Port of/de Belledune,Port de Belledune,≤100,2
123235041462,The Fraser Institute,Fraser Institute,≤100,5
101488322839614,Selam Debs - The Antiracism Course,Selam Debs-The Antiracism Course,≤100,6
161576757217190,City of Lethbridge- City Hall,City of Lethbridge- City Hall,≤100,3
5794733873,David Suzuki Foundation,David Suzuki Foundation,≤100,2
111231197686977,The Breach,The Breach,≤100,4
1553269028327267,Star Sponsored,The Toronto Star,≤100,2
753889838292279,BC Assembly of First Nations,BC Assembly of First Nations,≤100,4
114312524502,City of Surrey,City of Surrey,≤100,1
144952302745324,Nuclear Waste Management Organization,the Nuclear Waste Management Organization,≤100,5
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,≤100,1
278388139026064,Patrick Brown,Patrick Brown,≤100,2
100863511969679,Rechie Valdez,"Rechie Valdez, MP",≤100,1
198161003562116,Vancouver Humane Society,Vancouver Humane Society,≤100,8
157877769716452,Brendan Hanley,"Brendan Hanley, MP",≤100,2
146475628709291,TFO,Groupe Média TFO,≤100,2
211536155525838,ICI Estrie,ICI Estrie,≤100,59
183409495103051,ESPACE Côte-Nord,ESPACE Côte-Nord,≤100,3
105020357850802,Pivot,Pivot,≤100,3
106365669977985,Unpointcinq,Unpointcinq,≤100,3
209259539511350,Sors de ta bulle,Sors de ta bulle,≤100,2
261752512263,Canadian Red Cross,Canadian Red Cross,≤100,9
132996628184,City of Vancouver - Local Government,City of Vancouver - Local Government,≤100,1
213972982110718,Terry Beech,"Terry Beech, MP for Burnaby North Seymour",≤100,23
203135665808,Mississauga Parks & Recreation,City of Mississauga,≤100,3
