Location name,Amount spent (IDR)
Aceh,787254
Bali,1824486
Bangka–Belitung Islands,385475
Banten,1789050
Bengkulu,560384
Central Java,8011082
Central Kalimantan,538537
Central Sulawesi,1223887
East Java,11384821
East Kalimantan,1337648
East Nusa Tenggara,2394092
Gorontalo,431454
Jakarta,4928926
Jambi,818540
Lampung,1924438
Maluku,530184
North Kalimantan,264934
North Maluku,368409
North Sulawesi,1806857
North Sumatra,4172955
Papua (province),750857
Riau,2211707
Riau Islands Province,673179
South Kalimantan,598599
South Sulawesi,2528648
South Sumatra,2170256
Southeast Sulawesi,1013859
Special Region of Yogyakarta,1719526
Unknown,20478
West Java,9052325
West Kalimantan,1772801
West Nusa Tenggara,1684812
West Papua,331963
West Sulawesi,407199
West Sumatra,1253631
