Location name,Amount spent (DKK)
Capital Region of Denmark,39947
Central Denmark Region,21681
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9704
Region of Southern Denmark,19733
Unknown,≤100
Zealand Region,15118
