Location name,Amount spent (NZD)
Auckland Region,5574
Bay of Plenty Region,906
Canterbury,1827
Gisborne District,117
Hawke's Bay,464
Manawatu-Wanganui,808
Marlborough Region,148
Nelson Province,199
Northland Region,489
Otago,714
Southland,257
Taranaki,361
Tasman District,113
Unknown,≤100
Waikato,1231
Wellington Region,1545
West Coast,≤100
