Location name,Amount spent (PYG)
Alto Paraguay Department,13541
Alto Paraná Department,104199
Amambay Department,26938
Asunción,375584
Boquerón department,22790
Caaguazú Department,117674
Caazapá Department,11104
Canindeyú Department,12191
Central Department,978120
Concepción Department (Paraguay),16273
Cordillera Department,30275
Guairá Department,27276
Itapúa Department,43161
Misiones Department,139881
Paraguarí Department,15574
Presidente Hayes Department,97272
San Pedro Department,15804
Unknown,≤100
Ñeembucú Department,10994
