Location name,Amount spent (RON)
Alba County,434
Arad County,617
Argeș County,778
Bacău County,611
Bihor County,494
Bistrița-Năsăud County,316
Botoșani County,603
Brașov County,585
Brăila County,288
Bucharest,2304
Buzău County,416
Caraș-Severin County,337
Cluj County,796
Constanța County,740
Covasna County,183
Călărași County,247
Dolj County,547
Dâmbovița County,414
Galați County,768
Giurgiu County,182
Gorj County,328
Harghita County,334
Hunedoara County,475
Ialomița County,178
Iași County,1263
Ilfov County,303
Maramureș County,499
Mehedinți County,223
Mureș County,590
Neamț County,737
Olt County,287
Prahova County,799
Satu Mare County,282
Sibiu County,358
Suceava County,592
Sălaj County,246
Teleorman County,260
Timiș County,748
Tulcea County,181
Unknown,≤100
Vaslui County,342
Vrancea County,365
Vâlcea County,325
