Location name,Amount spent (TRY)
Adana Province,608
Adıyaman Province,≤100
Afyonkarahisar Province,233
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,835
Antalya Province,788
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,263
Ağrı Province,≤100
Balıkesir Province,369
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,597
Denizli Province,170
Diyarbakır Province,151
Düzce Province,≤100
Edirne Province,158
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,171
Gaziantep Province,318
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,415
Isparta Province,≤100
Istanbul Province,3446
Iğdır Province,≤100
Kahramanmaraş Province,225
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,239
Kilis Province,≤100
Kocaeli Province,202
Konya Province,263
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,125
Manisa Province,236
Mardin Province,≤100
Mersin Province,342
Muğla Province,168
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,115
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,354
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,134
Tokat Province,≤100
Trabzon Province,131
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,198
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1677
Şanlıurfa Province,178
Şırnak Province,≤100
