Location name,Amount spent (PEN)
Amazonas Region,521
Ancash Region,960
Apurímac Region,324
Arequipa Region,1332
Ayacucho Region,544
Cajamarca Region,2061
Callao,9953
Cusco Region,8503
Huancavelica Region,155
Huánuco Region,548
Ica Region,844
Junín Region,1032
La Libertad Region,1538
Lambayeque Region,1758
Lima Region,12978
Loreto Region,481
Madre de Dios Region,198
Moquegua Region,446
Pasco Region,470
Piura Region,18046
Puno Region,971
San Martín Region,642
Tacna Region,398
Tumbes Region,236
Ucayali Region,519
Unknown,≤100
