Location name,Amount spent (SEK)
Blekinge County,2670
Dalarna County,5658
Gotland County,1248
Gävleborg County,5630
Halland County,5641
Jämtland County,2601
Jönköping County,6651
Kalmar County,4447
Kronoberg County,3207
Norrbotten County,5758
Skåne County,27011
Stockholm County,52915
Södermanland County,5794
Unknown,≤100
Uppsala County,8062
Värmland County,4879
Västerbotten County,5668
Västernorrland County,5184
Västmanland County,5398
Västra Götaland County,34361
Örebro County,5622
Östergötland County,8629
