Location name,Amount spent (IDR)
Aceh,693711
Bali,1892252
Bangka–Belitung Islands,265508
Banten,3624137
Bengkulu,501090
Central Java,8086781
Central Kalimantan,738931
Central Sulawesi,679888
East Java,9397241
East Kalimantan,2403296
East Nusa Tenggara,1588078
Gorontalo,400994
Jakarta,6111667
Jambi,515070
Lampung,2640364
Maluku,332210
North Kalimantan,132017
North Maluku,275983
North Sulawesi,1869717
North Sumatra,5457961
Papua (province),701403
Riau,3380603
Riau Islands Province,623279
South Kalimantan,724593
South Sulawesi,3137368
South Sumatra,3044163
Southeast Sulawesi,450876
Special Region of Yogyakarta,2285286
Unknown,3163
West Java,8864835
West Kalimantan,1871974
West Nusa Tenggara,1296784
West Papua,249877
West Sulawesi,223591
West Sumatra,861124
