Location name,Amount spent (PLN)
Greater Poland Voivodeship,5409
Kuyavian-Pomeranian Voivodeship,2785
Lesser Poland Voivodeship,4891
Lower Silesian Voivodeship,3852
Lublin Voivodeship,2194
Lubusz Voivodeship,1348
Masovian Voivodeship,9936
Opole Voivodeship,1149
Podkarpackie Voivodeship,2210
Podlaskie Voivodeship,1310
Pomeranian Voivodeship,3419
Silesian Voivodeship,6210
Unknown,≤100
Warmian-Masurian Voivodeship,1703
West Pomeranian Voivodeship,2628
Łódź Voivodeship,3411
Świętokrzyskie Voivodeship,1363
