Location name,Amount spent (SEK)
Blekinge County,3223
Dalarna County,6265
Gotland County,1724
Gävleborg County,6335
Halland County,7624
Jämtland County,2978
Jönköping County,7651
Kalmar County,5303
Kronoberg County,3810
Norrbotten County,5176
Skåne County,29061
Stockholm County,57121
Södermanland County,6566
Unknown,≤100
Uppsala County,8617
Värmland County,5715
Västerbotten County,5401
Västernorrland County,5031
Västmanland County,5558
Västra Götaland County,40069
Örebro County,6754
Östergötland County,9331
