Location name,Amount spent (COP)
Amazonas,1658
Antioquia,6605948
Arauca,6028
Atlantico,72901
Bolivar,135339
Boyaca,31967
Caldas,74345
Caqueta,22723
Casanare,117889
Cauca,63763
Cesar,28356
Choco,13540
Cordoba,46104
Cundinamarca,240518
Distrito Especial,3367169
Guainia,11207
Guaviare,2227
Huila,473746
La Guajira,33731
Magdalena,75574
Meta,132829
Narino,51440
Norte de Santander,405714
Putumayo,69105
Quindio,36661
Risaralda,227302
San Andres y Providencia,2593
Santander,480449
Sucre,26607
Tolima,104488
Unknown,≤100
Valle del Cauca,1223593
Vaupes,389
Vichada,2456
