Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,590
Cerro Largo Department,103
Colonia Department,134
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,129
Montevideo Department,4934
Paysandú Department,116
Rivera Department,275
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,154
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,462
Unknown,≤100
