Page ID,Page name,Disclaimer,Amount spent (JMD),Number of ads in Library
823788047675556,Call of War,These ads ran without a disclaimer,1001,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,652,1
115526744809646,cordellahyl,These ads ran without a disclaimer,291,1
183757271681416,The Governor-General's Programme for Excellence - GGPE,The Governor-General's Programme for Excellence,154,1
114507271987242,IVECA International Virtual Schooling,These ads ran without a disclaimer,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
416963101691139,Play360,These ads ran without a disclaimer,≤100,1
100494622005728,Trivia.com - Celebrities,These ads ran without a disclaimer,≤100,1
