Location name,Amount spent (HUF)
Baranya County,62617
Borsod-Abaúj-Zemplén County,78175
Budapest,364486
Bács-Kiskun County,72212
Békés County,48227
Csongrád County,61944
Fejér County,61930
Győr-Moson-Sopron County,60093
Hajdú-Bihar County,111963
Heves County,51501
Jász-Nagykun-Szolnok County,126567
Komárom-Esztergom County,43039
Nógrád County,28799
Pest County,167339
Somogy County,43686
Szabolcs-Szatmár-Bereg County,68333
Tolna County,33040
Unknown,≤100
Vas County,33562
Veszprém County,46798
Zala County,53430
