Location name,Amount spent (PYG)
Alto Paraguay Department,14136
Alto Paraná Department,159681
Amambay Department,22918
Asunción,229256
Boquerón department,40873
Caaguazú Department,104175
Caazapá Department,49591
Canindeyú Department,29053
Central Department,849072
Concepción Department (Paraguay),37138
Cordillera Department,49093
Guairá Department,30800
Itapúa Department,68301
Misiones Department,21871
Paraguarí Department,32240
Presidente Hayes Department,16652
San Pedro Department,71333
Unknown,329
Ñeembucú Department,28091
