Location name,Amount spent (PYG)
Alto Paraguay Department,16276
Alto Paraná Department,2464730
Amambay Department,218709
Asunción,2621824
Boquerón department,79455
Caaguazú Department,1025111
Caazapá Department,188392
Canindeyú Department,178348
Central Department,6631514
Concepción Department (Paraguay),210473
Cordillera Department,462058
Guairá Department,255028
Itapúa Department,979962
Misiones Department,172286
Paraguarí Department,239058
Presidente Hayes Department,204078
San Pedro Department,262060
Unknown,537
Ñeembucú Department,144989
