Location name,Amount spent (AUD)
Australian Capital Territory,942
Jervis Bay Territory,≤100
New South Wales,16344
Norfolk Island,≤100
Northern Territory,389
Queensland,9547
South Australia,3254
Tasmania,1518
Unknown,≤100
Victoria,18413
Western Australia,5333
