Location name,Amount spent (EUR)
Alytus County,≤100
Kaunas County,228
Klaipėda County,153
Marijampolė County,≤100
Panevėžys County,≤100
Tauragė County,≤100
Telšiai County,≤100
Unknown,≤100
Utena County,≤100
Vilnius County,477
Šiauliai County,≤100
