Location name,Amount spent (TWD)
Changhua,10085
Chiayi,2216
Hsinchu,3868
Hsinchu City,7175
Hualien,3182
Kaohsiung,25871
Keelung City,3342
Kinmen,639
Lienchiang,≤100
Miaoli,4102
Nantou,4767
New Taipei City,43649
Penghu,610
Pingtung,5204
Taichung,33949
Tainan,18335
Taipei,33484
Taitung,1873
Taoyuan City,29818
Unknown,3929
Yilan,2939
Yunlin,5916
