Location name,Amount spent (SEK)
Blekinge County,9627
Dalarna County,17786
Gotland County,4560
Gävleborg County,17931
Halland County,20577
Jämtland County,8455
Jönköping County,20811
Kalmar County,13299
Kronoberg County,10616
Norrbotten County,16223
Skåne County,80635
Stockholm County,138826
Södermanland County,17807
Unknown,≤100
Uppsala County,23855
Värmland County,16935
Västerbotten County,16514
Västernorrland County,15181
Västmanland County,16032
Västra Götaland County,118987
Örebro County,18208
Östergötland County,26567
