Location name,Amount spent (HUF)
Baranya County,107208
Borsod-Abaúj-Zemplén County,158600
Budapest,630689
Bács-Kiskun County,139985
Békés County,91429
Csongrád County,111471
Fejér County,116011
Győr-Moson-Sopron County,130236
Hajdú-Bihar County,138835
Heves County,82488
Jász-Nagykun-Szolnok County,121207
Komárom-Esztergom County,81779
Nógrád County,43745
Pest County,315210
Somogy County,77778
Szabolcs-Szatmár-Bereg County,137846
Tolna County,62308
Unknown,≤100
Vas County,69821
Veszprém County,86260
Zala County,71025
