Location name,Amount spent (ZAR)
Eastern Cape,907
Free State,639
Gauteng,3370
KwaZulu-Natal,1586
Limpopo,783
Mpumalanga,521
North West,397
Northern Cape,217
Unknown,≤100
Western Cape,2253
