Location name,Amount spent (UYU)
Artigas Department,259
Canelones Department,764
Cerro Largo Department,261
Colonia Department,603
Durazno Department,136
Flores Department,≤100
Florida Department,159
Lavalleja Department,111
Maldonado Department,379
Montevideo Department,4436
Paysandú Department,272
Rivera Department,327
Rocha Department,162
Río Negro Department,134
Salto Department,396
San José Department,179
Soriano Department,162
Tacuarembó Department,203
Treinta y Tres Department,157
Unknown,≤100
