Location name,Amount spent (LBP)
Beirut Governorate,3774436
Beqaa Governorate,1130278
Mount Lebanon Governorate,2220901
Nabatieh Governorate,446015
North Governorate,1638195
South Governorate,842105
Unknown,≤100
