Location name,Amount spent (INR)
Andaman and Nicobar Islands,239
Andhra Pradesh,38975
Arunachal Pradesh,1904
Assam,27935
Bihar,160864
Chandigarh,1378
Chhattisgarh,33461
Dadra and Nagar Haveli,1250
Delhi,38193
Goa,1526
Gujarat,55034
Haryana,41874
Himachal Pradesh,21061
Jammu and Kashmir,12596
Jharkhand,23842
Karnataka,88610
Kerala,18356
Lakshadweep,≤100
Madhya Pradesh,61643
Maharashtra,121843
Manipur,2331
Meghalaya,81686
Mizoram,1136
Nagaland,1220
Odisha,16827
Puducherry,1470
Punjab region,34502
Rajasthan,176572
Sikkim,1563
Tamil Nadu,49086
Telangana,28483
Tripura,10129
Unknown,≤100
Uttar Pradesh,124497
Uttarakhand,13829
West Bengal,65014
