Location name,Amount spent (MYR)
Johor,436
Kedah,270
Kelantan,318
Kuala Lumpur,518
Labuan,≤100
Malacca,192
Negeri Sembilan,150
Pahang,184
Penang,231
Perak,303
Perlis,≤100
Putrajaya,≤100
Sabah,390
Sarawak,400
Selangor,948
Terengganu,151
Unknown,≤100
