Location name,Amount spent (EUR)
Alsace,1220
Aquitaine,2488
Auvergne,747
Basse-Normandie,886
Bourgogne,985
Bretagne,1837
Centre,1463
Champagne-Ardenne,861
Corse,333
Franche-Comté,616
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1165
Languedoc-Roussillon,2379
Limousin,418
Lorraine,1758
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1927
New Caledonia,≤100
Nord-Pas-de-Calais,2614
Pays de la Loire,1925
Picardie,1268
Poitou-Charentes,1116
Provence-Alpes-Côte d'Azur,4419
Reunion Island,≤100
Rhône-Alpes,4037
Unknown,≤100
Île-de-France,8252
