Location name,Amount spent (PLN)
Greater Poland Voivodeship,4381
Kuyavian-Pomeranian Voivodeship,2481
Lesser Poland Voivodeship,3923
Lower Silesian Voivodeship,3112
Lublin Voivodeship,2287
Lubusz Voivodeship,1061
Masovian Voivodeship,7863
Opole Voivodeship,794
Podkarpackie Voivodeship,1707
Podlaskie Voivodeship,1047
Pomeranian Voivodeship,2765
Silesian Voivodeship,4573
Unknown,≤100
Warmian-Masurian Voivodeship,1551
West Pomeranian Voivodeship,2054
Łódź Voivodeship,2784
Świętokrzyskie Voivodeship,1056
