Location name,Amount spent (CAD)
Alberta,7288
British Columbia,8103
Manitoba,3507
New Brunswick,1195
Newfoundland and Labrador,835
Northwest Territories,≤100
Nova Scotia,1225
Nunavut,≤100
Ontario,19224
Prince Edward Island,537
Quebec,13993
Saskatchewan,2916
Unknown,≤100
Yukon,≤100
