Location name,Amount spent (DKK)
Capital Region of Denmark,30674
Central Denmark Region,16185
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6922
Region of Southern Denmark,14415
Unknown,≤100
Zealand Region,9217
