Location name,Amount spent (EUR)
Alsace,470
Aquitaine,974
Auvergne,298
Basse-Normandie,293
Bourgogne,408
Bretagne,761
Centre,824
Champagne-Ardenne,289
Corse,≤100
Franche-Comté,237
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,408
Languedoc-Roussillon,879
Limousin,158
Lorraine,635
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,791
New Caledonia,≤100
Nord-Pas-de-Calais,853
Pays de la Loire,812
Picardie,409
Poitou-Charentes,444
Provence-Alpes-Côte d'Azur,1670
Reunion Island,≤100
Rhône-Alpes,1797
Saint-Martin,≤100
Unknown,128
Île-de-France,3158
