Location name,Amount spent (RON)
Alba County,521
Arad County,703
Argeș County,1123
Bacău County,900
Bihor County,839
Bistrița-Năsăud County,441
Botoșani County,619
Brașov County,824
Brăila County,516
Bucharest,3770
Buzău County,708
Caraș-Severin County,405
Cluj County,1491
Constanța County,1214
Covasna County,316
Călărași County,418
Dolj County,1405
Dâmbovița County,590
Galați County,963
Giurgiu County,324
Gorj County,718
Harghita County,548
Hunedoara County,632
Ialomița County,353
Iași County,1672
Ilfov County,439
Maramureș County,820
Mehedinți County,524
Mureș County,1173
Neamț County,729
Olt County,554
Prahova County,1092
Satu Mare County,548
Sibiu County,625
Suceava County,951
Sălaj County,361
Teleorman County,437
Timiș County,1076
Tulcea County,315
Unknown,≤100
Vaslui County,500
Vrancea County,542
Vâlcea County,600
