Location name,Amount spent (PYG)
Alto Paraguay Department,146016
Alto Paraná Department,16213853
Amambay Department,1811147
Asunción,17185530
Boquerón department,637561
Caaguazú Department,8112629
Caazapá Department,1437267
Canindeyú Department,1563717
Central Department,42603461
Concepción Department (Paraguay),1794536
Cordillera Department,3324265
Guairá Department,2075432
Itapúa Department,9309177
Misiones Department,1928716
Paraguarí Department,1831778
Presidente Hayes Department,1188352
San Pedro Department,2101480
Unknown,10568
Ñeembucú Department,1216666
