Location name,Amount spent (EUR)
Alsace,648
Aquitaine,1107
Auvergne,340
Basse-Normandie,429
Bourgogne,443
Bretagne,974
Centre,770
Champagne-Ardenne,356
Corse,111
Franche-Comté,289
French Guiana,≤100
French Polynesia,≤100
French Southern Territories,≤100
Guadeloupe,≤100
Haute-Normandie,683
Languedoc-Roussillon,978
Limousin,181
Lorraine,775
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,903
New Caledonia,≤100
Nord-Pas-de-Calais,1242
Pays de la Loire,1102
Picardie,783
Poitou-Charentes,461
Provence-Alpes-Côte d'Azur,2015
Reunion Island,≤100
Rhône-Alpes,1868
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3669
