Location name,Amount spent (GTQ)
Alta Verapaz Department,1128
Baja Verapaz Department,436
Chimaltenango Department,1188
Chiquimula Department,1130
El Progreso Department,355
Escuintla Department,2236
Guatemala Department,22026
Huehuetenango Department,2007
Izabal Department,1596
Jalapa Department,506
Jutiapa Department,1150
Petén Department,1418
Quetzaltenango Department,2384
Quiché Department,1534
Retalhuleu Department,608
Sacatepéquez Department,1499
San Marcos Department,5318
Santa Rosa Department,589
Sololá Department,786
Suchitepéquez Department,1256
Totonicapán Department,743
Unknown,≤100
Zacapa Department,449
