Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
122074554119,EU Social,EU Social,7376,9
102931488739,Platforma Obywatelska,Platforma Obywatelska,6204,30
178362315106,European Parliament,European Parliament,2902,13
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1549,24
102811109411234,Do:łącz,Dołącz,1351,2
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1264,31
57544755889,Amnesty International Polska,Amnesty International Polska,915,42
228168274881,wysokieobcasy,wysokieobcasy,902,9
376660699164364,Rafał Komarewicz - Przewodniczący Rady Miasta Krakowa,Rafał Komarewicz,828,9
1683534065241470,OKO.press,OKO.press,661,21
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,642,116
107898832590939,European Commission,European Commission,584,2
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,575,10
339855706171439,Dobra Fabryka,Dobra Fabryka,564,4
178415208919146,Suwerenna Polska,Solidarna Polska,541,7
273827962690526,Otwarte Klatki,Otwarte Klatki,536,1
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),469,5
1227194230675141,Pratia,Pratia SA,421,13
475584852475176,Pozytron,POZYTRON Radiologia Medyczna,414,8
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,413,4
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,372,8
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,355,13
1432065937006559,Polski Związek Tenisa Stołowego,Polski Związek Tenisa Stołowego,319,2
109223993792330,Andrzej Domański,Andrzej Domański,310,5
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,303,10
1937461523203000,Fundacja Promocji Pojazdów Elektrycznych FPPE,Fundacja Promocji Pojazdów Elektrycznych,290,31
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,289,5
113143203693,Santander Bank Polska,Santander Bank Polska,288,5
513969188677442,Compassion Polska,Compassion Polska,285,8
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,282,2
145329992215815,Piotr Król,Piotr Król,271,1
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,260,2
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,251,21
252707301407911,Ministerstwo Rolnictwa i Rozwoju Wsi,Ministerstwo Rolnictwa i Rozwoju Wsi,250,1
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,250,4
1646168595688590,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,245,3
1465965073732774,Łukasz Kohut,Łukasz Kohut,240,1
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,236,11
391098174296294,Super Express,se.pl,233,6
341803579195956,Dom Współpracy Polsko-Niemieckiej,Dom Współpracy Polsko-Niemieckiej,215,1
618179678235315,wschód,wschód,211,2
561109754080680,Związek Miast Polskich,Związek Miast Polskich,211,3
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,207,3
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,197,23
1465420300424470,Gremi Personal Вакансии,These ads ran without a disclaimer,193,1
104623181081757,Budżet Obywatelski Mazowsza,Urząd Marszałkowski Województwa Mazowieckiego,192,14
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,190,7
376101312892,Miasto Poznań,Miasto Poznań,189,2
142614625077,WWF Polska,WWF Polska,187,1
195591907176717,Grzegorz Piechowiak - Wiceminister Rozwoju i Technologii,Biuro Posła Grzegorza Piechowiaka,183,2
174123027189,Instytut Spraw Publicznych,Fundacja Instytut Spraw Publicznych,174,4
398575110474591,Krzysztof Gadowski - Poseł na Sejm RP,Krzysztof Gadowski - Poseł na Sejm RP,162,1
434225653303734,Fundusze Europejskie dla Mazowsza,Agencja Reklamowa DSK Sp z o.o.,161,7
101751661613203,Adam Lutkowski,Adam Lutkowski,161,4
116580465063718,Marcin Meller,Grupa Wydawnicza Foksal,160,2
335107452998,"InPost - Paczkomat, Kurier","InPost - Paczkomat, Kurier",159,4
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,159,3
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Fundacja Rozwoju Demokracji Lokalnej,154,6
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,151,8
110876148028220,Izabela Bodnar,Izabela Bodnar,147,7
209963076513421,Niepodległa. Miejsce spotkań,Niepodległa,145,6
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,142,9
387124011444132,Wojciech Saługa Poseł na Sejm,Wojciech Saługa Poseł na Sejm,141,2
199877710116314,Patryk Jaki,Patryk Jaki,140,2
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,133,2
487587700423,Miasto Gdańsk,Miasto Gdańsk,131,1
256314858405394,Paweł Olszewski,Paweł Olszewski,129,3
173086948664,Infor.pl,Infor.pl,128,7
355335447987852,"Katarzyna Stachowicz - samorządowiec, działaczka społeczna","Katarzyna Stachowicz - samorządowiec, działaczka społeczna",125,1
2120416424876335,Grzegorz Macko - Wicemarszałek Województwa Dolnośląskiego,Grzegorz Macko - Wicemarszałek Województwa Dolnośląskiego,122,3
213564818806045,Marcin Jabłoński Zarząd Województwa Lubuskiego PO RP,Smartpress Radosław Sujak,120,8
1490825114573569,Anna Ewa Cicholska,Anna Ewa Cicholska,119,3
276860619087002,Sylwester Tułajew,Sylwester Tułajew,119,2
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,118,9
267686749910602,Piotr Müller,Piotr Müller,117,6
105039892358886,FURPO - Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,114,8
100569026183717,W Obronie Zdrowia,W Obronie Zdrowia,110,11
163488137165461,E.ON Polska,E.ON Polska,110,7
328956034420247,Marcin Pawlicki - Radny Miasta Szczecin,Marcin Pawlicki - Radny Miasta Szczecin,107,2
111275624780972,Erase Indifference,Erase Indifference,107,1
123234977337474,Відновлення добробуту_Польша,Відновлення добробуту_Польша,106,3
385532321805330,Pomorskie,Pomorskie,103,3
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),103,3
297486841148102,Ius Memoriae - Prawo Pamięci,Ius Memoriae,101,23
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,≤100,1
109218848183780,Marek Woźniak,UMWW,≤100,10
1528030200840040,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,≤100,1
505554886239501,Fale Loki Koki,Fale Loki Koki,≤100,1
2320275388297228,Marcin Romanowski,Marcin Romanowski,≤100,1
190536713845,Fundacja JiM,Fundacja JiM,≤100,1
112023696910232,ważne sprawy,Fundacja Ważne Sprawy,≤100,4
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,≤100,7
100302862419697,"Wielkopolska, tej",UMWW,≤100,14
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100,3
1496359750659795,Michał Wójcik,Michał Wójcik,≤100,1
134214926657042,Radosław Sikorski,Radosław Sikorski,≤100,4
170887773826663,Marcin Warchoł,Marcin Warchoł,≤100,1
84072659617,Dom Spotkań z Historią,Dom Spotkań z Historią,≤100,2
231233140324853,Wielokulturowy Lublin,Wielokulturowy Lublin,≤100,2
108470777303042,Robert Popkowski,Robert Popkowski,≤100,8
170894632966683,Warszawski Instytut Bankowości,Sektorowa Rada ds. Kompetencji Sektora Finansowego,≤100,3
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro – Prawo do życia,≤100,8
381003278691136,Szymon Hołownia,Szymon Hołownia,≤100,1
134909373729723,Tetra Pak Polska,Tetra Pak Polska,≤100,2
514245432058229,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,≤100,14
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,3
108567461681538,"Polska Katolicka, nie laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,≤100,1
86261954768,Książnica Beskidzka,These ads ran without a disclaimer,≤100,1
330644215221,Bankier.pl,Bankier.pl,≤100,3
127619873953536,Stefczyk.info,Stefczyk.info,≤100,2
1529908490607057,European Cybersecurity Forum - Cybersec,Stowarzyszenie Instytut Kościuszki,≤100,3
