Location name,Amount spent (VND)
An Giang Province,4003
Bà Rịa–Vũng Tàu Province,5300
Bình Dương Province,10505
Bình Phước Province,2256
Bình Thuận Province,3030
Bình Định Province,5085
Bạc Liêu Province,1337
Bắc Giang Province,34873
Bắc Kạn Province,7772
Bắc Ninh Province,47334
Bến Tre Province,1680
Cao Bằng Province,108067
Cà Mau Province,714
Cần Thơ,2843
Da Nang,4967
Gia Lai Province,3510
Haiphong,18600
Ho Chi Minh City,32985
Hà Giang Province,7926
Hà Nam Province,4600
Hà Tĩnh Province,38650
Hòa Bình Province,3631
Hưng Yên Province,2656
Hải Dương Province,27468
Hậu Giang Province,418
Khánh Hòa Province,4926
Kiên Giang Province,3815
Kon Tum Province,1239
Lai Châu Province,2062
Long An Province,6243
Lào Cai Province,1174
Lâm Đồng Province,3447
Lạng Sơn Province,1972
Nam Định Province,15012
Nghệ An Province,68711
Ninh Bình Province,1664
Ninh Thuận Province,1265
Phú Thọ Province,13959
Phú Yên Province,2763
Quảng Bình Province,17349
Quảng Nam Province,7392
Quảng Ngãi Province,2396
Quảng Ninh Province,12409
Quảng Trị Province,1791
Sóc Trăng Province,1377
Sơn La Province,3010
Thanh Hóa Province,5447
Thái Bình Province,3896
Thái Nguyên Province,21020
Thừa Thiên–Huế Province,11014
Tiền Giang Province,2042
Trà Vinh Province,1123
Tuyên Quang Province,8325
Tây Ninh Province,1464
Vĩnh Long Province,2797
Vĩnh Phúc Province,10769
Yên Bái Province,8005
Điện Biên Province,2918
Đắk Lắk Province,59547
Đắk Nông Province,2542
Đồng Nai Province,11788
Đồng Tháp Province,4964
