Location name,Amount spent (RON)
Alba County,1788
Arad County,1996
Argeș County,2539
Bacău County,2433
Bihor County,2846
Bistrița-Năsăud County,1233
Botoșani County,1358
Brașov County,4279
Brăila County,1206
Bucharest,13481
Buzău County,1497
Caraș-Severin County,1030
Cluj County,4481
Constanța County,3641
Covasna County,907
Călărași County,868
Dolj County,2491
Dâmbovița County,1986
Galați County,2342
Giurgiu County,839
Gorj County,1249
Harghita County,1339
Hunedoara County,1970
Ialomița County,754
Iași County,3784
Ilfov County,1729
Maramureș County,2122
Mehedinți County,1158
Mureș County,2780
Neamț County,1776
Olt County,1087
Prahova County,3075
Satu Mare County,1330
Sibiu County,2407
Suceava County,2274
Sălaj County,954
Teleorman County,996
Timiș County,4288
Tulcea County,747
Unknown,≤100
Vaslui County,1093
Vrancea County,1317
Vâlcea County,1566
