Location name,Amount spent (THB)
Amnat Charoen,1047
Ang Thong,228
Ayutthaya,1216
Bangkok,112809
Bueng Kan,372
Buriram,1509
Chachoengsao,1674
Chai Nat,2759
Chaiyaphum,2083
Chanthaburi,3203
Chiang Mai,4064
Chiang Rai,1880
Chon Buri,19359
Chumphon,1140
Kalasin,767
Kamphaeng Phet,712
Kanchanaburi,6669
Khon Kaen,6451
Krabi,1186
Lampang,718
Lamphun,520
Loei,414
Lop Buri,625
Mae Hong Son,741
Maha Sarakham,1256
Mukdahan,489
Nakhon Nayok,169
Nakhon Pathom,5647
Nakhon Phanom,4800
Nakhon Ratchasima,6494
Nakhon Sawan,2285
Nakhon Si Thammarat,4604
Nan,415
Narathiwat,569
Nong Bua Lam Phu,416
Nong Khai,397
Nonthaburi,7036
Pathum Thani,9003
Pattani,803
Phangnga,657
Phatthalung,1789
Phayao,1588
Phetchabun,675
Phetchaburi,817
Phichit,705
Phitsanulok,7350
Phrae,361
Phuket,12425
Prachin Buri,434
Prachuap Khiri Khan,1457
Ranong,310
Ratchaburi,3018
Rayong,4583
Roi Et,1150
Sa Kaeo,552
Sakon Nakhon,1611
Samut Prakan,7118
Samut Sakhon,5567
Samut Songkhram,2337
Saraburi,1165
Satun,685
Sing Buri,357
Sisaket,822
Songkhla,9809
Sukhothai,1043
Suphan Buri,1674
Surat Thani,10145
Surin,795
Tak,319
Trang,4089
Trat,1544
Ubon Ratchathani,1632
Udon Thani,1644
Unknown,≤100
Uthai Thani,455
Uttaradit,335
Yala Province,667
Yasothon,1483
