Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,749
Bicol Region,19977
Cagayan Valley,2641
Calabarzon,20308
Caraga,1846
Central Luzon,9054
Central Visayas,7400
Cordillera Administrative Region,1648
Davao Region,5450
Eastern Visayas,3558
Ilocos Region,6342
Metro Manila,50261
Mimaropa,2622
Northern Mindanao,5285
Soccsksargen,2627
Unknown,≤100
Western Visayas,9976
Zamboanga Peninsula,2533
