Location name,Amount spent (NZD)
Auckland Region,3478
Bay of Plenty Region,834
Canterbury,1764
Cook Islands,≤100
Gisborne District,112
Hawke's Bay,608
Manawatu-Wanganui,698
Marlborough Region,104
Nelson Province,189
Niue,≤100
Northland Region,435
Otago,576
Southland,244
Taranaki,323
Tasman District,111
Unknown,≤100
Waikato,1109
Wellington Region,1292
West Coast,≤100
