Location name,Amount spent (COP)
Amazonas,969
Antioquia,955252
Arauca,5808
Atlantico,210062
Bolivar,95319
Boyaca,21663
Caldas,23003
Caqueta,71906
Casanare,8887
Cauca,42956
Cesar,63038
Choco,15646
Cordoba,36952
Cundinamarca,258898
Distrito Especial,1581131
Guainia,339
Guaviare,1564
Huila,98997
La Guajira,35648
Magdalena,76395
Meta,68849
Narino,44866
Norte de Santander,34018
Putumayo,17777
Quindio,24422
Risaralda,78149
San Andres y Providencia,1861
Santander,57749
Sucre,21717
Tolima,61327
Unknown,≤100
Valle del Cauca,393546
Vaupes,216
Vichada,322
