Location name,Amount spent (AUD)
Australian Capital Territory,942
Jervis Bay Territory,≤100
New South Wales,35679
Northern Territory,477
Queensland,9676
South Australia,3962
Tasmania,1452
Unknown,≤100
Victoria,11766
Western Australia,4681
