Location name,Amount spent (VND)
An Giang Province,5913
Bà Rịa–Vũng Tàu Province,12165
Bình Dương Province,13569
Bình Phước Province,5008
Bình Thuận Province,5563
Bình Định Province,31601
Bạc Liêu Province,1212
Bắc Giang Province,18498
Bắc Kạn Province,2272
Bắc Ninh Province,43391
Bến Tre Province,2600
Cao Bằng Province,77330
Cà Mau Province,4159
Cần Thơ,8013
Da Nang,11283
Gia Lai Province,2488
Haiphong,20395
Ho Chi Minh City,139988
Hà Giang Province,2587
Hà Nam Province,4226
Hà Tĩnh Province,7274
Hòa Bình Province,2769
Hưng Yên Province,7018
Hải Dương Province,16054
Hậu Giang Province,1579
Khánh Hòa Province,6771
Kiên Giang Province,4622
Kon Tum Province,1435
Lai Châu Province,237
Long An Province,5068
Lào Cai Province,3669
Lâm Đồng Province,7303
Lạng Sơn Province,5706
Nam Định Province,8983
Nghệ An Province,29110
Ninh Bình Province,4289
Ninh Thuận Province,2521
Phú Thọ Province,6941
Phú Yên Province,3975
Quảng Bình Province,3942
Quảng Nam Province,6154
Quảng Ngãi Province,4392
Quảng Ninh Province,10656
Quảng Trị Province,6494
Sóc Trăng Province,2682
Sơn La Province,2912
Thanh Hóa Province,10091
Thái Bình Province,167749
Thái Nguyên Province,180927
Thừa Thiên–Huế Province,6469
Tiền Giang Province,3586
Trà Vinh Province,1793
Tuyên Quang Province,3659
Tây Ninh Province,4925
Vĩnh Long Province,3623
Vĩnh Phúc Province,8338
Yên Bái Province,1979
Điện Biên Province,1500
Đắk Lắk Province,70194
Đắk Nông Province,1858
Đồng Nai Province,18694
Đồng Tháp Province,6772
