Location name,Amount spent (INR)
Andaman and Nicobar Islands,943
Andhra Pradesh,48437
Arunachal Pradesh,1511
Assam,14978
Bihar,35211
Chandigarh,2633
Chhattisgarh,21029
Dadra and Nagar Haveli,2074
Delhi,38989
Goa,4667
Gujarat,52478
Haryana,34898
Himachal Pradesh,14137
Jammu and Kashmir,11239
Jharkhand,13414
Karnataka,334607
Kerala,15736
Lakshadweep,≤100
Madhya Pradesh,67128
Maharashtra,160134
Manipur,2024
Meghalaya,2836
Mizoram,744
Nagaland,1427
Odisha,15432
Puducherry,1048
Punjab region,32309
Rajasthan,120441
Sikkim,782
Tamil Nadu,36381
Telangana,58758
Tripura,2694
Unknown,107
Uttar Pradesh,91426
Uttarakhand,11950
West Bengal,46632
