Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,2451,5
2229936167288652,Juan Sartori,Equipo Juan Sartori,700,2
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,363,3
102337244995366,Prudencia Uruguay,Santiago Raffo Arias,267,1
339506493370193,Richard Sander,Richard Saul Sander Darín,224,2
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,139,1
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,119,4
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
448577818540347,Tatiana Schapiro,These ads ran without a disclaimer,≤100,1
110024445150774,Sana Mente,These ads ran without a disclaimer,≤100,1
106155822122127,Bindi.World,These ads ran without a disclaimer,≤100,1
140609392651493,Centro Alemán de Información para Latinoamérica,These ads ran without a disclaimer,≤100,1
596858787607676,Ciudades Verdes,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
102192406139913,rocio_cruz_art,These ads ran without a disclaimer,≤100,1
102896729338425,Baga1402_03,These ads ran without a disclaimer,≤100,1
131602424169035,Oxfam en Español,These ads ran without a disclaimer,≤100,6
145648232252879,Disfam - Asociación Dislexia y Familia,These ads ran without a disclaimer,≤100,1
100339112933404,Baga1402_04,These ads ran without a disclaimer,≤100,1
